,Kategori Wilayah,Kode Wilayah,Nama Wilayah
433,Kelurahan,1102072012,Sri Muda
434,Kelurahan,1102072013,Ujung Baru
435,Kelurahan,1102072014,Kute Rambe
436,Kelurahan,1102072015,Mamas Baru
437,Kelurahan,1102072016,Rambung Jaya
438,Kelurahan,1102072017,Makmur Jaya
439,Kelurahan,1102072018,Darul Makmur
440,Kelurahan,1102072019,Tanjung Bakhu
441,Kelurahan,1102072020,Pulo Gabung
442,Kelurahan,1102072021,Kokhtan Jaya
443,Kelurahan,1102072022,Istiqamah
444,Kelurahan,1102072023,Lawe Mamas Indah
445,Kelurahan,1102072024,Tanjung Leuser
446,Kelurahan,1102072025,Simpang IV Tanjung
447,Kelurahan,1102072026,Lawe Pinis
448,Kelurahan,1102072027,Buntul Kendawi
449,Kelurahan,1102072028,Kuning Abadi
450,Kelurahan,1102082001,Pasir Gala
451,Kelurahan,1102082002,Pasir Penjengakan
452,Kelurahan,1102082003,Kutambaru
453,Kelurahan,1102082004,Lawe Sagu Hulu
454,Kelurahan,1102082005,Lawe Sagu Hilir
455,Kelurahan,1102082006,Kute Bantil
456,Kelurahan,1102082011,Lawe Kolok
457,Kelurahan,1102082012,Lawe Rutung
458,Kelurahan,1102082013,Kampung Nangka
459,Kelurahan,1102082014,Tenembak  Juhar
460,Kelurahan,1102082015,Simpang Empat
461,Kelurahan,1102082016,Kuta Buluh Botong
462,Kelurahan,1102082017,Katambaru  Becawan
463,Kelurahan,1102082018,Lawe Kinge
464,Kelurahan,1102082019,Kandang Mbelang Mandiri
465,Kelurahan,1102082020,Mbacang Racun
466,Kelurahan,1102082021,Telaga Mekar
467,Kelurahan,1102082023,Pulonas Baru
468,Kelurahan,1102082025,Kuta Genting
469,Kelurahan,1102082026,Lawe Sagu Baru
470,Kelurahan,1102082027,Lawe Sagu
471,Kelurahan,1102082028,Pekhapet Timur
472,Kelurahan,1102082029,Bahagia
473,Kelurahan,1102082030,Kute Galuh Asli
474,Kelurahan,1102092001,Kute Lengat Pangan
475,Kelurahan,1102092002,Kute Lengat Selian
476,Kelurahan,1102092003,Tualang Baru
477,Kelurahan,1102092004,Alur Buluh
478,Kelurahan,1102092005,Maha Singkil
479,Kelurahan,1102092006,Tenembak  Bintang
480,Kelurahan,1102092007,Kute Lingga
481,Kelurahan,1102092008,Rikit Bur
482,Kelurahan,1102092010,Kerukunan
483,Kelurahan,1102092011,Lawe Dua
484,Kelurahan,1102092012,Rema
485,Kelurahan,1102092013,Bambel Baru
486,Kelurahan,1102092014,Pejuang
487,Kelurahan,1102092015,Darussalam
